year;degree;situation;disciplines;domain;disciplinarySector;jobsIntermediateOrManagerial;jobsManagerial;medianMonthlySalaray;nationalMedianMonthly
2011;MASTER LMD;30 mois après le diplôme;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);Ensemble Masters LMD (hors Masters enseignement);Ensemble Masters LMD (hors Masters enseignement);87;64;1910;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;86;61;2000;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Droit>Sciences politiques;Droit, économie et gestion;Sciences politiques;87;69;1930;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Droit>Sciences juridiques;Droit, économie et gestion;Sciences juridiques;86;61;1930;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Économie>Sciences économiques;Droit, économie et gestion;Sciences économiques;87;60;1990;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Gestion>Sciences de gestion;Droit, économie et gestion;Sciences de gestion;87;63;2080;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Administration économique et sociale;Droit, économie et gestion;Administration économique et sociale;79;48;1780;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion;Droit, économie et gestion;Pluridisciplinaire sciences économiques et gestion;80;53;2010;1800
2011;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences politiques;Droit, économie et gestion;Pluridisciplinaire droit, sciences politiques;88;67;1820;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts;Lettres, langues, arts;Ensemble Lettres, langues, arts;76;52;1700;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;Lettres, langues, arts;Langues étrangères appliquées;73;42;1730;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;Lettres, langues, arts;Sciences du langage, linguistique;76;48;1600;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;Lettres, langues, arts;Pluridisciplinaire lettres, sciences du langage, arts;83;59;1700;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;Lettres, langues, arts;Langues et littératures anciennes;ns;ns;ns;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises;Lettres, langues, arts;Langues et littératures françaises;77;58;1700;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;Lettres, langues, arts;Pluridisciplinaire lettres, langues, sciences humaines;69;46;1600;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Arts;Lettres, langues, arts;Arts;73;48;1520;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Cultures et langues régionales;Lettres, langues, arts;Cultures et langues régionales;ns;ns;ns;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère;Lettres, langues, arts;Français, langue étrangère;82;58;1500;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire langues;Lettres, langues, arts;Pluridisciplinaire langues;76;55;1740;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;Lettres, langues, arts;Langues et littératures étrangères;83;64;1750;1800
2011;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée;Lettres, langues, arts;Littérature générale et comparée;81;65;1750;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;Sciences humaines et sociales;Ensemble sciences humaines et sociales;84;60;1700;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Histoire-géographie>Histoire;Sciences humaines et sociales;Histoire;71;44;1590;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Histoire-géographie>Géographie;Sciences humaines et sociales;Géographie;84;52;1730;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Psychologie>Psychologie;Sciences humaines et sociales;Psychologie;94;82;1630;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Information communication>Sciences de l'information et la communication;Sciences humaines et sociales;Sciences de l'information et la communication;83;58;1800;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Sciences religieuses;Sciences humaines et sociales;Sciences religieuses;ns;ns;ns;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Sociologie, démographie;Sciences humaines et sociales;Sociologie, démographie;79;43;1600;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Aménagement;Sciences humaines et sociales;Aménagement;91;62;1800;1800
2011;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Philosophie, épistémologie;Sciences humaines et sociales;Philosophie, épistémologie;88;78;ns;1800
