year;degree;situation;disciplines;domain;disciplinarySector;jobsIntermediateOrManagerial;jobsManagerial;medianMonthlySalaray;nationalMedianMonthly
2017;MASTER LMD;30 mois après le diplôme;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);Ensemble Masters LMD (hors Masters enseignement);Ensemble Masters LMD (hors Masters enseignement);93;75;2200;1900
2017;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;91;64;2100;1900
2017;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Droit>Sciences politiques;Droit, économie et gestion;Sciences politiques;90;75;2110;1900
2017;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Droit>Sciences juridiques;Droit, économie et gestion;Sciences juridiques;92;67;2080;1900
2017;MASTER LMD;18 mois après le diplôme;Droit, économie et gestion>Économie>Sciences économiques;Droit, économie et gestion;Sciences économiques;86;59;2050;1900
2017;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Gestion>Sciences de gestion;Droit, économie et gestion;Sciences de gestion;92;69;2220;1900
2017;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences politiques;Droit, économie et gestion;Pluridisciplinaire droit, sciences politiques;87;68;1810;1900
2017;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences économiques et de gestion, AES;Droit, économie et gestion;Pluridisciplinaire droit, sciences économiques et de gestion, AES;92;82;2500;1900
2017;MASTER LMD;18 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion;Droit, économie et gestion;Pluridisciplinaire sciences économiques et gestion;87;58;2080;1900
2017;MASTER LMD;18 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Administration économique et sociale;Droit, économie et gestion;Administration économique et sociale;86;53;1800;1900
2017;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Autres formations juridiques, économiques et de gestion;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;91;68;2100;1900
2017;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Arts;Lettres, langues, arts;Arts;79;48;1700;1900
2017;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Cultures et langues régionales;Lettres, langues, arts;Cultures et langues régionales;nd;nd;nd;1900
2017;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;Lettres, langues, arts;Langues et littératures anciennes;nd;nd;nd;1900
2017;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;Lettres, langues, arts;Langues et littératures étrangères;76;45;1650;1900
2017;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée;Lettres, langues, arts;Littérature générale et comparée;ns;ns;ns;1900
2017;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;Lettres, langues, arts;Sciences du langage, linguistique;83;62;1500;1900
2017;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;Lettres, langues, arts;Pluridisciplinaire lettres, langues, sciences humaines;84;48;1680;1900
2017;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;Lettres, langues, arts;Pluridisciplinaire lettres, sciences du langage, arts;ns;ns;ns;1900
2017;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère;Lettres, langues, arts;Français, langue étrangère;88;54;1700;1900
