year;degree;situation;disciplines;domain;disciplinarySector;jobsIntermediateOrManagerial;jobsManagerial;medianMonthlySalaray;nationalMedianMonthly
2015;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère;Lettres, langues, arts;Français, langue étrangère;ns;ns;ns;1865
2015;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères;Lettres, langues, arts;Langues et littératures étrangères;76;50;1670;1865
2015;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises;Lettres, langues, arts;Langues et littératures françaises;ns;ns;ns;1865
2015;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée;Lettres, langues, arts;Littérature générale et comparée;ns;ns;ns;1865
2015;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire langues;Lettres, langues, arts;Pluridisciplinaire langues;72;49;1700;1865
2015;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;Lettres, langues, arts;Pluridisciplinaire lettres, langues, sciences humaines;59;40;1520;1865
2015;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées;Lettres, langues, arts;Langues étrangères appliquées;67;44;1750;1865
2015;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;Lettres, langues, arts;Sciences du langage, linguistique;76;50;1650;1865
2015;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;Lettres, langues, arts;Pluridisciplinaire lettres, sciences du langage, arts;43;22;1400;1865
2015;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Langues et littératures anciennes;Lettres, langues, arts;Langues et littératures anciennes;ns;ns;nd;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;Sciences humaines et sociales;Ensemble sciences humaines et sociales;85;61;1810;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences humaines et sociales>Histoire-géographie>Histoire;Sciences humaines et sociales;Histoire;56;29;1430;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Histoire-géographie>Géographie;Sciences humaines et sociales;Géographie;78;45;1690;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;Sciences humaines et sociales;Histoire-géographie;73;43;1600;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Psychologie>Psychologie;Sciences humaines et sociales;Psychologie;94;84;1700;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences humaines et sociales>Information communication>Sciences de l'information et la communication;Sciences humaines et sociales;Sciences de l'information et la communication;73;42;1600;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Philosophie, épistémologie;Sciences humaines et sociales;Philosophie, épistémologie;66;55;1520;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Sciences de l'éducation;Sciences humaines et sociales;Sciences de l'éducation;ns;ns;ns;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Sciences religieuses;Sciences humaines et sociales;Sciences religieuses;ns;ns;ns;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Sociologie, démographie;Sciences humaines et sociales;Sociologie, démographie;79;59;1730;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Aménagement;Sciences humaines et sociales;Aménagement;83;53;1700;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Archéologie, ethnologie, préhistoire;Sciences humaines et sociales;Archéologie, ethnologie, préhistoire;53;28;1380;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Autres sciences humaines et sociales;Sciences humaines et sociales;Autres sciences humaines et sociales;75;46;1600;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences humaines et sociales>Autres sciences humaines et sociales>Pluridisciplinaire sciences humaines et sociales;Sciences humaines et sociales;Pluridisciplinaire sciences humaines et sociales;76;58;1800;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Ensemble sciences, technologies et santé>Ensemble sciences, technologies et santé;Sciences, technologies et santé;Ensemble sciences, technologies et santé;89;58;1800;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences de la vie et de la terre>Sciences de la vie et de la terre;Sciences, technologies et santé;Sciences de la vie et de la terre;91;59;1800;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences de la vie et de la terre>Sciences de l'univers;Sciences, technologies et santé;Sciences de l'univers;86;54;1640;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences de la vie et de la terre>Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;Sciences, technologies et santé;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;94;53;1820;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences de la vie et de la terre>Sciences de la vie;Sciences, technologies et santé;Sciences de la vie;89;53;1680;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences fondamentales>Sciences fondamentales;Sciences, technologies et santé;Sciences fondamentales;96;75;2100;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences fondamentales>Chimie;Sciences, technologies et santé;Chimie;90;56;1800;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences fondamentales>Physique;Sciences, technologies et santé;Physique;95;84;2050;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences fondamentales>Mathématiques appliquées et sciences sociales;Sciences, technologies et santé;Mathématiques appliquées et sciences sociales;ns;ns;ns;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences fondamentales>Physique et chimie;Sciences, technologies et santé;Physique et chimie;95;76;1980;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences fondamentales>Mathématiques;Sciences, technologies et santé;Mathématiques;100;92;2250;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences de l'ingénieur>Génie des procédés;Sciences, technologies et santé;Génie des procédés;98;78;2010;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences de l'ingénieur>Mécanique, génie mécanique;Sciences, technologies et santé;Mécanique, génie mécanique;97;90;2200;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences de l'ingénieur>Technologie et sciences industrielles;Sciences, technologies et santé;Technologie et sciences industrielles;92;61;1970;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences de l'ingénieur>Électronique, génie électrique;Sciences, technologies et santé;Électronique, génie électrique;ns;ns;ns;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Sciences de l'ingénieur>Génie civil;Sciences, technologies et santé;Génie civil;93;71;2080;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Sciences de l'ingénieur>Sciences de l'ingénieur;Sciences, technologies et santé;Sciences de l'ingénieur;96;80;2000;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Informatique>Informatique;Sciences, technologies et santé;Informatique;94;83;1930;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Pharmacie;Sciences, technologies et santé;Pharmacie;96;77;2220;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Sciences et techniques des activités physiques et sportives;Sciences, technologies et santé;Sciences et techniques des activités physiques et sportives;79;33;1620;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences;Sciences, technologies et santé;Pluridisciplinaire sciences;92;69;1940;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Pluridisciplinaire sciences fondamentales et applications;Sciences, technologies et santé;Pluridisciplinaire sciences fondamentales et applications;ns;ns;ns;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Autres sciences, technologies et santé;Sciences, technologies et santé;Autres sciences, technologies et santé;86;51;1720;1865
2015;MASTER LMD;18 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Formation générale aux métiers de l'ingénieur;Sciences, technologies et santé;Formation générale aux métiers de l'ingénieur;ns;ns;ns;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Mathématique et informatique;Sciences, technologies et santé;Mathématique et informatique;ns;ns;ns;1865
2015;MASTER LMD;30 mois après le diplôme;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;Sciences, technologies et santé;Médecine;94;75;2130;1865
2015;MASTER ENS;30 mois après le diplôme;Masters enseignement>Masters enseignement>Masters enseignement;Masters enseignement;Masters enseignement;96;89;1900;1865
