year;degree;situation;disciplines;domain;disciplinarySector;jobsIntermediateOrManagerial;jobsManagerial;medianMonthlySalaray;nationalMedianMonthly
2015;MASTER LMD;18 mois après le diplôme;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);Ensemble Masters LMD (hors Masters enseignement);Ensemble Masters LMD (hors Masters enseignement);78;49;1710;1865
2015;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Ensemble formations juridiques, économiques et de gestion>Ensemble formations juridiques, économiques et de gestion;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;86;61;2060;1865
2015;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Droit>Sciences juridiques;Droit, économie et gestion;Sciences juridiques;88;66;2140;1865
2015;MASTER LMD;18 mois après le diplôme;Droit, économie et gestion>Droit>Sciences politiques;Droit, économie et gestion;Sciences politiques;85;68;1950;1865
2015;MASTER LMD;18 mois après le diplôme;Droit, économie et gestion>Économie>Sciences économiques;Droit, économie et gestion;Sciences économiques;76;48;1800;1865
2015;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Gestion>Sciences de gestion;Droit, économie et gestion;Sciences de gestion;90;70;2280;1865
2015;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Autres formations juridiques, économiques et de gestion;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;84;58;2000;1865
2015;MASTER LMD;18 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Administration économique et sociale;Droit, économie et gestion;Administration économique et sociale;71;41;1760;1865
2015;MASTER LMD;30 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences politiques;Droit, économie et gestion;Pluridisciplinaire droit, sciences politiques;86;47;1800;1865
2015;MASTER LMD;18 mois après le diplôme;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion;Droit, économie et gestion;Pluridisciplinaire sciences économiques et gestion;78;51;1930;1865
2015;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts;Lettres, langues, arts;Ensemble Lettres, langues, arts;60;33;1500;1865
2015;MASTER LMD;30 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Arts;Lettres, langues, arts;Arts;66;36;1500;1865
2015;MASTER LMD;18 mois après le diplôme;Lettres, langues, arts>Lettres, langues, arts>Cultures et langues régionales;Lettres, langues, arts;Cultures et langues régionales;ns;ns;ns;1865
